City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chui,-33.6971,-53.4616,9.36,79,100,0.99,UY,1690509937
1,adamstown,-25.066,-130.1015,19.74,60,47,1.45,PN,1690509937
2,ancud,-41.8697,-73.8203,9.36,96,100,4.16,CL,1690509938
3,invercargill,-46.4,168.35,10.57,74,97,4.47,NZ,1690509938
4,agadez,19.75,10.25,30.9,26,74,4.88,NE,1690509938
5,papatowai,-46.5619,169.4708,9.75,67,99,2.72,NZ,1690509938
6,namtsy,62.7161,129.6658,22.94,36,98,2.11,RU,1690509938
7,kavieng,-2.5744,150.7967,27.99,80,59,5.01,PG,1690509939
8,lebu,-37.6167,-73.65,11.13,92,99,0.82,CL,1690509939
9,iqaluit,63.7506,-68.5145,8.85,76,20,0.0,CA,1690509939
10,albany,42.6001,-73.9662,23.82,93,22,1.84,US,1690509939
11,bethel,41.3712,-73.414,25.17,88,54,2.04,US,1690509745
12,port-aux-francais,-49.35,70.2167,4.78,92,100,7.81,TF,1690509940
13,usinsk,65.9939,57.5281,16.78,80,72,2.68,RU,1690509940
14,polyarnyy,69.1989,33.4478,12.71,87,53,0.73,RU,1690509940
15,ushuaia,-54.8,-68.3,-2.19,74,0,1.03,AR,1690509940
16,grytviken,-54.2811,-36.5092,-3.91,82,100,4.58,GS,1690509940
17,bengkulu,-3.8004,102.2655,26.87,73,100,1.92,ID,1690509941
18,olonkinbyen,70.9221,-8.7187,4.93,87,100,5.39,SJ,1690509941
19,san sebastian de la gomera,28.0916,-17.1133,24.1,68,0,1.03,ES,1690509941
20,prince rupert,54.3161,-130.3201,18.83,97,100,7.2,CA,1690509942
21,duluth,46.7833,-92.1066,22.32,91,0,2.57,US,1690509835
22,praia da vitoria,38.7333,-27.0667,24.14,94,20,3.54,PT,1690509942
23,kitimat,54.0524,-128.6534,26.21,58,100,0.45,CA,1690509943
24,tiksi,71.6872,128.8694,9.8,61,70,4.16,RU,1690509943
25,bilibino,68.0546,166.4372,13.36,59,100,3.53,RU,1690509944
26,arraial do cabo,-22.9661,-42.0278,20.96,89,0,4.66,BR,1690509944
27,san luis de la loma,17.2706,-100.8939,28.46,79,100,2.68,MX,1690509944
28,nemuro,43.3236,145.575,18.72,92,85,0.79,JP,1690509944
29,waitangi,-43.9535,-176.5597,8.79,90,100,2.68,NZ,1690509944
30,debark',13.1561,37.8981,9.53,88,93,0.13,ET,1690509945
31,hawaiian paradise park,19.5933,-154.9731,27.8,71,100,3.6,US,1690509945
32,saipan,15.1355,145.701,28.39,100,0,4.12,MP,1690509945
33,igarka,67.4667,86.5833,23.53,62,36,4.8,RU,1690509945
34,choibalsan,48.0667,114.5,24.22,43,1,5.03,MN,1690509945
35,port elizabeth,-33.918,25.5701,12.16,87,0,1.54,ZA,1690509946
36,blackmans bay,-43.0167,147.3167,15.41,57,0,4.03,AU,1690509946
37,manta,-0.95,-80.7333,25.56,73,20,5.81,EC,1690509946
38,yemetsk,63.4721,41.7941,12.87,88,100,0.8,RU,1690509946
39,esperanza,19.5847,-70.9849,26.83,84,14,3.13,DO,1690509946
40,ambodifotatra,-16.9833,49.85,22.79,66,47,5.96,MG,1690509947
41,santa ana,33.7456,-117.8678,36.47,64,20,4.63,US,1690509595
42,velasco ibarra,-1.05,-79.6167,25.04,86,91,1.21,EC,1690509947
43,rabaul,-4.1967,152.1721,29.34,69,59,3.25,PG,1690509947
44,port mathurin,-19.6833,63.4167,23.31,78,56,4.76,MU,1690509947
45,west island,-12.1568,96.8225,24.99,73,75,9.77,CC,1690509948
46,pontianak,-0.0333,109.3333,26.99,69,20,5.14,ID,1690509948
47,san dionisio ocotepec,16.8,-96.4,18.99,83,53,2.52,MX,1690509948
48,tura,25.5198,90.2201,25.55,93,100,2.65,IN,1690509948
49,aasiaat,68.7098,-52.8699,0.71,95,37,2.07,GL,1690509948
50,laojunmiao,39.8333,97.7333,28.65,16,0,6.94,CN,1690509948
51,praia,14.9215,-23.5087,26.3,73,40,5.14,CV,1690509949
52,badger,64.8,-147.5333,28.06,49,20,4.12,US,1690509949
53,yellowknife,62.456,-114.3525,24.29,29,75,2.57,CA,1690509835
54,akureyri,65.6835,-18.0878,8.96,81,100,3.09,IS,1690509790
55,happy valley-goose bay,53.3168,-60.3315,17.17,59,75,4.12,CA,1690509949
56,ilulissat,69.2167,-51.1,4.01,93,20,0.51,GL,1690509950
57,hamilton,39.1834,-84.5333,27.46,87,75,10.8,US,1690509832
58,camana,-16.6228,-72.7111,16.98,89,22,2.87,PE,1690509950
59,juegang,32.3174,121.1855,28.28,92,100,7.89,CN,1690509950
60,lamu,-2.2717,40.902,23.12,83,11,7.44,KE,1690509950
61,ikauna,27.55,81.9667,30.03,70,88,4.59,IN,1690509950
